GeneSymbol	log2FC	p_value_or_padj	Dataset	Comparison	Direction	In_CTD_marker	In_CTD_therapeutic	In_CTD_inferred	In_GeneCards_AD	Species
CLDN8	2.3	5.00E-05	PRJEB38104	Canine_DGEs	Up	yes	yes	no	no	Canine
CLEC4G	2.88	1.50E-07	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
CLEC9A	2.16	8.60E-06	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
CLXN	-2.37	0.000598	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
CORO1A	2.57	9.50E-07	GSE74136_48	Canine_48h	Up	yes	yes	no	yes	Canine
CRISPLD2	2.95	2.67E-09	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
CRLF1	4.07	4.70E-08	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
CSF1R	3.36	1.60E-08	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
CSF2	2.01	1.20E-05	GSE58442_24	Canine_24h	Up	yes	yes	yes	yes	Canine
CSF2RA	2.07	1.50E-06	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
CSRP3	-3.02	0.21	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
CST7	2.15	5.10E-06	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
CTLA4	2.3	2.20E-08	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
CTSC	2.87	3.11E-07	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
CTSH	2.86	1.19E-07	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
CTSS	3.39	4.86E-12	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
CX3CR1	4.63	1.68E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
CXCL8	2.45	0.028	GSE58442_24	Canine_24h	Up	yes	yes	yes	yes	Canine
CXCL8	2.59	0.0098	GSE39278L_NL	Canine_DGEs	Up	yes	yes	yes	yes	Canine
CXCL8	2.67	0.017	GSE39278_L	Canine_DGEs	Up	yes	yes	yes	yes	Canine
